Code,Area,Number of eligible pupils - Pupils known to be eligible for free school meals,Number of eligible pupils - All other pupils,Number of eligible pupils - All Pupils,At least the expected standard in all ELGs - Pupils known to be eligible for free school meals,At least the expected standard in all ELGs - All other pupils,At least the expected standard in all ELGs - All Pupils,A good level of development - Pupils known to be eligible for free school meals,A good level of development - All other pupils,A good level of development - All Pupils,Average point score - Pupils known to be eligible for free school meals,Average point score - All other pupils,Average point score - All Pupils
E09000002,Barking and Dagenham,383,3049,3432,64,71,70,66,73,72,33,34,34
E09000003,Barnet,594,3743,4337,63,75,73,63,76,74,32,35,35
E09000004,Bexley,340,2777,3117,63,77,75,65,78,77,32,35,35
E09000005,Brent,319,3473,3792,65,72,71,66,72,72,32,34,34
E09000006,Bromley,302,3655,3957,57,79,77,59,80,78,31,36,35
E09000007,Camden,361,1213,1574,62,75,72,63,76,73,33,36,35
E09000008,Croydon,809,3887,4696,64,75,73,66,76,75,32,35,34
E09000009,Ealing,579,3834,4413,61,71,70,62,72,71,33,35,35
E09000010,Enfield,734,3585,4319,59,71,69,60,72,70,32,34,34
E09000011,Greenwich,554,3055,3609,70,79,78,70,79,78,33,36,36
E09000012,Hackney,508,2417,2925,68,68,68,69,70,70,33,35,35
E09000013,Hammersmith and Fulham,258,1258,1516,62,74,72,63,75,73,33,36,35
E09000014,Haringey,394,2620,3014,63,76,74,65,76,75,33,36,36
E09000015,Harrow,158,2931,3089,65,74,74,66,75,75,32,34,34
E09000016,Havering,354,2838,3192,49,74,71,50,74,72,31,34,34
E09000017,Hillingdon,413,3623,4036,63,75,74,64,76,75,33,35,35
E09000018,Hounslow,352,3033,3385,64,73,72,66,75,74,33,35,35
E09000019,Islington,578,1355,1933,61,71,68,64,74,71,33,36,35
E09000020,Kensington and Chelsea,222,839,1061,58,71,68,60,73,70,33,35,35
E09000021,Kingston upon Thames,156,1829,1985,56,77,75,56,78,76,33,38,38
E09000022,Lambeth,699,2406,3105,60,73,70,62,74,71,32,34,33
E09000023,Lewisham,497,3053,3550,66,78,76,66,78,76,32,34,34
E09000024,Merton,313,2037,2350,61,77,75,62,78,75,33,36,36
E09000025,Newham,712,4011,4723,69,75,74,71,77,76,34,35,35
E09000026,Redbridge,217,4008,4225,63,76,75,63,76,76,33,36,36
E09000027,Richmond upon Thames,153,2336,2489,58,82,80,58,82,81,34,39,39
E09000028,Southwark,697,2655,3352,66,75,73,67,76,74,32,35,34
E09000029,Sutton,230,2217,2447,55,74,72,57,75,73,32,35,35
E09000030,Tower Hamlets,907,2565,3472,65,70,69,66,71,70,33,34,34
E09000031,Waltham Forest,435,3060,3495,65,77,76,65,78,76,33,36,35
E09000032,Wandsworth,417,2645,3062,60,78,76,60,79,76,32,36,36
E09000033,Westminster,263,1020,1283,67,70,70,68,71,71,33,34,34
